# Distance (Angstrom)  Energy (Hartree)
  0.20000000 -258.77670590
  0.40000000 -265.78225246
  0.60000000 -267.22282628
  0.80000000 -267.59363123
  1.00000000 -267.75231975
  1.20000000 -267.86691084
  1.40000000 -267.95594915
  1.60000000 -268.01240654
  1.80000000 -268.04427124
  2.00000000 -268.06097722
  2.20000000 -268.06927979
  2.40000000 -268.07317156
  2.60000000 -268.07478761
  2.80000000 -268.07524655
  3.00000000 -268.07515560
  3.20000000 -268.07485798
  3.40000000 -268.07454296
  3.60000000 -268.07429717
  3.80000000 -268.07414071
  4.00000000 -268.07405988
  4.20000000 -268.07403110
  4.40000000 -268.07403337
  4.60000000 -268.07405188
  4.80000000 -268.07407751
  5.00000000 -268.07410515
  5.20000000 -268.07413222
  5.40000000 -268.07415757
  5.60000000 -268.07418078
  5.80000000 -268.07420181
  6.00000000 -268.07422079
  6.20000000 -268.07423788
  6.40000000 -268.07425327
  6.60000000 -268.07426714
  6.80000000 -268.07427965
  7.00000000 -268.07429094
  7.20000000 -268.07430116
  7.40000000 -268.07431041
  7.60000000 -268.07431880
  7.80000000 -268.07432642
  8.00000000 -268.07433336
  8.20000000 -268.07433968
  8.40000000 -268.07434545
  8.60000000 -268.07435072
  8.80000000 -268.07435555
  9.00000000 -268.07435997
  9.20000000 -268.07436404
  9.40000000 -268.07436777
  9.60000000 -268.07437122
  9.80000000 -268.07437439
